metricId,time,value
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:48:00,13.85978975892067
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:50:00,17.815220534801483
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:52:00,16.64250010251999
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:54:00,14.031249970197678
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:56:00,16.422083288431168
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 06:58:00,10.291739135980606
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 07:00:00,17.71857589483261
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 07:02:00,15.66133338212967
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 07:04:00,12.906470566987991
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 07:06:00,19.337815195322037
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 07:08:00,10.299565315246582
"(cloud.gcp.apigee_googleapis_com.proxyv2.latencies_percentile:filter(and(or(eq(proxy_name,rousseltm-elearning)))):splitBy():sort(value(auto,descending)):limit(20)):limit(100):names",2025-04-03 07:10:00,13.696309506893158
